MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
MOA24016,HG975681,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Geum,rivale,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24017,HG975682,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Geum,rivale,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24018,HG975683,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Rosanae,Oxalidales,Oxalidaceae,Oxalis,acetosella,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24019,HG975684,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Rosanae,Oxalidales,Oxalidaceae,Oxalis,acetosella,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24020,HG975685,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Rosanae,Oxalidales,Oxalidaceae,Oxalis,acetosella,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24021,HG975686,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Rosanae,Oxalidales,Oxalidaceae,Oxalis,acetosella,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24022,HG975687,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Lilianae,Liliales,Melanthiaceae,Paris,quadrifolia,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24023,HG975688,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Lilianae,Liliales,Melanthiaceae,Paris,quadrifolia,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24024,HG975689,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Asteranae,Lamiales,Plantaginaceae,Veronica,chamaedrys,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24025,HG975690,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Asteranae,Lamiales,Plantaginaceae,Veronica,chamaedrys,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24026,HG975691,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Rosanae,Malpighiales,Violaceae,Viola,mirabilis,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24027,HG975692,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Rosanae,Malpighiales,Violaceae,Viola,mirabilis,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24028,HG975693,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Rosanae,Malpighiales,Violaceae,Viola,mirabilis,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24029,HG975694,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00005,plant roots,,Magnoliidae,Rosanae,Malpighiales,Violaceae,Viola,mirabilis,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24030,HG975695,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00009,plant roots,,Magnoliidae,Rosanae,Geraniales,Geraniaceae,Geranium,pratense,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24031,HG975696,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00009,plant roots,,Magnoliidae,Rosanae,Geraniales,Geraniaceae,Geranium,pratense,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24032,HG975697,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00009,plant roots,,Magnoliidae,Lilianae,Liliales,Melanthiaceae,Paris,quadrifolia,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24033,HG975698,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00009,plant roots,,Magnoliidae,Lilianae,Liliales,Melanthiaceae,Paris,quadrifolia,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24034,HG975699,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Fragaria,vesca,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24035,HG975700,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Fragaria,vesca,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24036,HG975701,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Fragaria,vesca,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24037,HG975702,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Fragaria,vesca,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24038,HG975703,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Galeobdolon,luteum,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24039,HG975704,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Galeobdolon,luteum,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24040,HG975705,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Galeobdolon,luteum,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24041,HG975706,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Galeobdolon,luteum,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24042,HG975707,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Geraniales,Geraniaceae,Geranium,pratense,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24043,HG975708,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Geraniales,Geraniaceae,Geranium,pratense,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24044,HG975709,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Geraniales,Geraniaceae,Geranium,pratense,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24045,HG975710,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Geraniales,Geraniaceae,Geranium,pratense,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24046,HG975711,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Geum,rivale,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24047,HG975712,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Geum,rivale,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24048,HG975713,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Geum,rivale,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24049,HG975714,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Geum,rivale,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24050,HG975715,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Ranunculanae,Ranunculales,Ranunculaceae,Hepatica,nobilis,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24051,HG975716,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Ranunculanae,Ranunculales,Ranunculaceae,Hepatica,nobilis,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24052,HG975717,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Ranunculanae,Ranunculales,Ranunculaceae,Hepatica,nobilis,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24053,HG975718,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Ranunculanae,Ranunculales,Ranunculaceae,Hepatica,nobilis,forest,Temperate broadleaf & mixed forest,boreonemoral mixed forest,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru,58deg58.00'N 26deg3.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24054,HG975719,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Malpighiales,Hypericaceae,Hypericum,maculatum,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
MOA24055,HG975720,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00245,plant roots,,Magnoliidae,Rosanae,Malpighiales,Hypericaceae,Hypericum,maculatum,successional,Azonal & successional,clearcut,temperate,Palearctic,,,,,,700-750,Europe,Estonia,J?rva County,Koeru 2,58deg58.00'N 26deg7.00'E,,NS31,AML2,18S rDNA,454 sequencing,GS-FLX Titanium,Plant and Soil ,2017,Arbuscular mycorrhizal fungal communities in forest plant roots are simultaneously shaped by host characteristics and canopy-mediated light availability,"Koorem, K.; Tulva, I.; Davison, J.; Jairus, T.; Opik, M.; Vasar, M.; Zobel, M.; Moora, M."
