MaarjAM accession number	GenBank accession number	Fungal class	Fungal order	Fungal family	Fungal genus	Fungal species	VTX	Source	Source specify	Host subclass	Host superorder	Host order	Host family	Host genus	Host species	Ecosystem	Biome	Habitat	Climatic zone	Biogeo realm	Soil pH	C content	P content	N content	Altitude (m)	Average annual precipitation (mm)	Continent	Country	State	Location	Coordinates	Culture code	Forward primer	Reverse primer	Marker region	Sequencing method	Sequencing chemistry	Journal	Year	Title	Authors
MOA01125	HE576814	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12b PARA1	VTX00350	plant roots		Magnoliidae	Caryophyllanae	Caryophyllales	Caryophyllaceae	Herniaria	fruticosa	shrubland	deserts and xeric shrublands	gypsophilous vegetation	subtropical	Palearctic					753	289	Europe	Spain	Murcia	Lorca	37deg40.00'N 1deg41.00'W		AML1	AML2	18S rDNA	Sanger		Soil Biology and Biochemistry	2012	Perennial plant species from semiarid gypsum soils support higher AMF diversity in roots than the annual Bromus rubens	Alguacil, M.M.; Torrecillas, E.; Roldan, A.; Diaz, G.; Torres, M.P.
MOA01135	HE576839	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12b PARA3	VTX00335	plant roots		Magnoliidae	Caryophyllanae	Caryophyllales	Caryophyllaceae	Herniaria	fruticosa	shrubland	deserts and xeric shrublands	gypsophilous vegetation	subtropical	Palearctic					753	289	Europe	Spain	Murcia	Lorca	37deg40.00'N 1deg41.00'W		AML1	AML2	18S rDNA	Sanger		Soil Biology and Biochemistry	2012	Perennial plant species from semiarid gypsum soils support higher AMF diversity in roots than the annual Bromus rubens	Alguacil, M.M.; Torrecillas, E.; Roldan, A.; Diaz, G.; Torres, M.P.
MOA01136	HE576840	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12b PARA3	VTX00335	plant roots		Magnoliidae	Caryophyllanae	Caryophyllales	Caryophyllaceae	Herniaria	fruticosa	shrubland	deserts and xeric shrublands	gypsophilous vegetation	subtropical	Palearctic					753	289	Europe	Spain	Murcia	Lorca	37deg40.00'N 1deg41.00'W		AML1	AML2	18S rDNA	Sanger		Soil Biology and Biochemistry	2012	Perennial plant species from semiarid gypsum soils support higher AMF diversity in roots than the annual Bromus rubens	Alguacil, M.M.; Torrecillas, E.; Roldan, A.; Diaz, G.; Torres, M.P.
MOA01171	HE576912	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12b PARA1	VTX00350	plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Senecio 	auricula	shrubland	deserts and xeric shrublands	gypsophilous vegetation	subtropical	Palearctic					753	289	Europe	Spain	Murcia	Lorca	37deg40.00'N 1deg41.00'W		AML1	AML2	18S rDNA	Sanger		Soil Biology and Biochemistry	2012	Perennial plant species from semiarid gypsum soils support higher AMF diversity in roots than the annual Bromus rubens	Alguacil, M.M.; Torrecillas, E.; Roldan, A.; Diaz, G.; Torres, M.P.
MOA01172	HE576913	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12b PARA2	VTX00350	plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Senecio 	auricula	shrubland	deserts and xeric shrublands	gypsophilous vegetation	subtropical	Palearctic					753	289	Europe	Spain	Murcia	Lorca	37deg40.00'N 1deg41.00'W		AML1	AML2	18S rDNA	Sanger		Soil Biology and Biochemistry	2012	Perennial plant species from semiarid gypsum soils support higher AMF diversity in roots than the annual Bromus rubens	Alguacil, M.M.; Torrecillas, E.; Roldan, A.; Diaz, G.; Torres, M.P.
MOA01173	HE576914	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12b PARA1	VTX00350	plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Senecio 	auricula	shrubland	deserts and xeric shrublands	gypsophilous vegetation	subtropical	Palearctic					753	289	Europe	Spain	Murcia	Lorca	37deg40.00'N 1deg41.00'W		AML1	AML2	18S rDNA	Sanger		Soil Biology and Biochemistry	2012	Perennial plant species from semiarid gypsum soils support higher AMF diversity in roots than the annual Bromus rubens	Alguacil, M.M.; Torrecillas, E.; Roldan, A.; Diaz, G.; Torres, M.P.
MOA01174	HE576915	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12b PARA2	VTX00350	plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Senecio 	auricula	shrubland	deserts and xeric shrublands	gypsophilous vegetation	subtropical	Palearctic					753	289	Europe	Spain	Murcia	Lorca	37deg40.00'N 1deg41.00'W		AML1	AML2	18S rDNA	Sanger		Soil Biology and Biochemistry	2012	Perennial plant species from semiarid gypsum soils support higher AMF diversity in roots than the annual Bromus rubens	Alguacil, M.M.; Torrecillas, E.; Roldan, A.; Diaz, G.; Torres, M.P.
MOA08541	HE613454	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil14b Para1	VTX00337	plant roots		Magnoliidae	Rosanae	Rosales	Rosaceae	Prunus	persica	anthropogenic	Anthropogenic ecosystem	orchard	tropical	Neotropic					1790	1271	South America	Venezuela	Aragua State	Colonia Tovar	10deg29.00'N 67deg7.00'W		AML1	AML2	18S rDNA	Sanger		PLoS ONE	2014	Prunus persica crop management differentially promotes arbuscular mycorrhizal fungi diversity in a tropical agro-ecosystem	Alguacil, M. M.; Torrecillas, E.; Lozano, Z.; Torres, M. P.; Roldan, A.
MOA08542	HE613455	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil14b Para2	VTX00281	plant roots		Magnoliidae	Rosanae	Rosales	Rosaceae	Prunus	persica	anthropogenic	Anthropogenic ecosystem	orchard	tropical	Neotropic					1790	1271	South America	Venezuela	Aragua State	Colonia Tovar	10deg29.00'N 67deg7.00'W		AML1	AML2	18S rDNA	Sanger		PLoS ONE	2014	Prunus persica crop management differentially promotes arbuscular mycorrhizal fungi diversity in a tropical agro-ecosystem	Alguacil, M. M.; Torrecillas, E.; Lozano, Z.; Torres, M. P.; Roldan, A.
MOA08543	HE613456	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil14b Para2	VTX00348	plant roots		Magnoliidae	Rosanae	Rosales	Rosaceae	Prunus	persica	anthropogenic	Anthropogenic ecosystem	orchard	tropical	Neotropic					1790	1271	South America	Venezuela	Aragua State	Colonia Tovar	10deg29.00'N 67deg7.00'W		AML1	AML2	18S rDNA	Sanger		PLoS ONE	2014	Prunus persica crop management differentially promotes arbuscular mycorrhizal fungi diversity in a tropical agro-ecosystem	Alguacil, M. M.; Torrecillas, E.; Lozano, Z.; Torres, M. P.; Roldan, A.
MOA08544	HE613466	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil14b Para1	VTX00281	plant roots		Magnoliidae	Rosanae	Rosales	Rosaceae	Prunus	persica	anthropogenic	Anthropogenic ecosystem	orchard	tropical	Neotropic					1790	1271	South America	Venezuela	Aragua State	Colonia Tovar	10deg29.00'N 67deg7.00'W		AML1	AML2	18S rDNA	Sanger		PLoS ONE	2014	Prunus persica crop management differentially promotes arbuscular mycorrhizal fungi diversity in a tropical agro-ecosystem	Alguacil, M. M.; Torrecillas, E.; Lozano, Z.; Torres, M. P.; Roldan, A.
MOA08545	HE613480	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil14b Para2	VTX00337	plant roots		Magnoliidae	Rosanae	Rosales	Rosaceae	Prunus	persica	anthropogenic	Anthropogenic ecosystem	orchard	tropical	Neotropic					1790	1271	South America	Venezuela	Aragua State	Colonia Tovar	10deg29.00'N 67deg7.00'W		AML1	AML2	18S rDNA	Sanger		PLoS ONE	2014	Prunus persica crop management differentially promotes arbuscular mycorrhizal fungi diversity in a tropical agro-ecosystem	Alguacil, M. M.; Torrecillas, E.; Lozano, Z.; Torres, M. P.; Roldan, A.
MOA08546	HE613489	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil14b Para2	VTX00349	plant roots		Magnoliidae	Rosanae	Rosales	Rosaceae	Prunus	persica	anthropogenic	Anthropogenic ecosystem	orchard	tropical	Neotropic					1790	1271	South America	Venezuela	Aragua State	Colonia Tovar	10deg29.00'N 67deg7.00'W		AML1	AML2	18S rDNA	Sanger		PLoS ONE	2014	Prunus persica crop management differentially promotes arbuscular mycorrhizal fungi diversity in a tropical agro-ecosystem	Alguacil, M. M.; Torrecillas, E.; Lozano, Z.; Torres, M. P.; Roldan, A.
MOA08547	HE613491	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil14b Para1	VTX00281	plant roots		Magnoliidae	Rosanae	Rosales	Rosaceae	Prunus	persica	anthropogenic	Anthropogenic ecosystem	orchard	tropical	Neotropic					1790	1271	South America	Venezuela	Aragua State	Colonia Tovar	10deg29.00'N 67deg7.00'W		AML1	AML2	18S rDNA	Sanger		PLoS ONE	2014	Prunus persica crop management differentially promotes arbuscular mycorrhizal fungi diversity in a tropical agro-ecosystem	Alguacil, M. M.; Torrecillas, E.; Lozano, Z.; Torres, M. P.; Roldan, A.
MOA03556	HE615075	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Torrecillas12b Para1	VTX00335	plant roots		Magnoliidae	Lilianae	Poales	Poaceae	Avena	barbata	shrubland	Subtropical shrubland	semiarid Mediterranean shrubland	subtropical	Palearctic						< 270	Europe	Spain	Murcia	Molina de Segura	38deg12.00'N 1deg13.00'W		AML1	AML2	18S rDNA	Sanger		Applied and Environmental Microbiology	2012	Host preferences of arbuscular mycorrhizal fungi colonizing annual herbaceous plant species in semiarid mediterranean prairies	Torrecillas, E.; Alguacil, M. M.; Roldan, A.
MOA05388	HE659940	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00281	soil								forest	Temperate broadleaf & mixed forest	boreo-nemoral forest	temperate	Palearctic							Europe	Estonia	Tartu County	Jarvselja Forest Reserve	58deg99.99'6 27deg99.99'4		NS31	AML2	18S rDNA	454 sequencing	GS-FLX	PLoS ONE	2012	Communities of arbuscular mycorrhizal fungi detected in forest soil are spatially heterogeneous but do not vary throughout the growing season	Davison, J.; Opik, M.; Zobel, M.; Vasar, M.; Metsis, M.; Moora, M.
MOA05389	HE659941	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00281	soil								forest	Temperate broadleaf & mixed forest	boreo-nemoral forest	temperate	Palearctic							Europe	Estonia	Tartu County	Jarvselja Forest Reserve	58deg99.99'6 27deg99.99'4		NS31	AML2	18S rDNA	454 sequencing	GS-FLX	PLoS ONE	2012	Communities of arbuscular mycorrhizal fungi detected in forest soil are spatially heterogeneous but do not vary throughout the growing season	Davison, J.; Opik, M.; Zobel, M.; Vasar, M.; Metsis, M.; Moora, M.
MOA05390	HE659942	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00281	soil								forest	Temperate broadleaf & mixed forest	boreo-nemoral forest	temperate	Palearctic							Europe	Estonia	Tartu County	Jarvselja Forest Reserve	58deg99.99'6 27deg99.99'4		NS31	AML2	18S rDNA	454 sequencing	GS-FLX	PLoS ONE	2012	Communities of arbuscular mycorrhizal fungi detected in forest soil are spatially heterogeneous but do not vary throughout the growing season	Davison, J.; Opik, M.; Zobel, M.; Vasar, M.; Metsis, M.; Moora, M.
MOA05391	HE659943	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00281	soil								forest	Temperate broadleaf & mixed forest	boreo-nemoral forest	temperate	Palearctic							Europe	Estonia	Tartu County	Jarvselja Forest Reserve	58deg99.99'6 27deg99.99'4		NS31	AML2	18S rDNA	454 sequencing	GS-FLX	PLoS ONE	2012	Communities of arbuscular mycorrhizal fungi detected in forest soil are spatially heterogeneous but do not vary throughout the growing season	Davison, J.; Opik, M.; Zobel, M.; Vasar, M.; Metsis, M.; Moora, M.
MOA07036	HE775341	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Kohout14 Para2		plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Tanacetum	vulgare	anthropogenic	Anthropogenic ecosystem	abandoned field	temperate	Palearctic					237		Europe	Czech Republic	Hradec Kralove	Hradec Kralove	50deg13.00'N 15deg52.00'E		PARA1313	ITS4i	ITS	Sanger		Soil Biology and Biochemistry	2014	Comparison of commonly used primer sets for evaluating arbuscular mycorrhizal fungal communities: is there a universal solution?	Kohout, P.; Sudova, R.; Janouskova, M.; Ctvrtlikova, M.; Hejda, M.; Pankova, H.; Slavikova, R.; Stajerova, K.; Vosatka, M.; Sykorova, Z.
MOA07037	HE775342	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Kohout14 Para2		plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Tanacetum	vulgare	anthropogenic	Anthropogenic ecosystem	abandoned field	temperate	Palearctic					237		Europe	Czech Republic	Hradec Kralove	Hradec Kralove	50deg13.00'N 15deg52.00'E		PARA1313	ITS4i	ITS	Sanger		Soil Biology and Biochemistry	2014	Comparison of commonly used primer sets for evaluating arbuscular mycorrhizal fungal communities: is there a universal solution?	Kohout, P.; Sudova, R.; Janouskova, M.; Ctvrtlikova, M.; Hejda, M.; Pankova, H.; Slavikova, R.; Stajerova, K.; Vosatka, M.; Sykorova, Z.
MOA07038	HE775343	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Kohout14 Para1		plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Tanacetum	vulgare	anthropogenic	Anthropogenic ecosystem	abandoned field	temperate	Palearctic					237		Europe	Czech Republic	Hradec Kralove	Hradec Kralove	50deg13.00'N 15deg52.00'E		PARA1313	ITS4i	ITS	Sanger		Soil Biology and Biochemistry	2014	Comparison of commonly used primer sets for evaluating arbuscular mycorrhizal fungal communities: is there a universal solution?	Kohout, P.; Sudova, R.; Janouskova, M.; Ctvrtlikova, M.; Hejda, M.; Pankova, H.; Slavikova, R.; Stajerova, K.; Vosatka, M.; Sykorova, Z.
MOA07039	HE775344	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Kohout14 Para1		plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Tanacetum	vulgare	anthropogenic	Anthropogenic ecosystem	abandoned field	temperate	Palearctic					237		Europe	Czech Republic	Hradec Kralove	Hradec Kralove	50deg13.00'N 15deg52.00'E		PARA1313	ITS4i	ITS	Sanger		Soil Biology and Biochemistry	2014	Comparison of commonly used primer sets for evaluating arbuscular mycorrhizal fungal communities: is there a universal solution?	Kohout, P.; Sudova, R.; Janouskova, M.; Ctvrtlikova, M.; Hejda, M.; Pankova, H.; Slavikova, R.; Stajerova, K.; Vosatka, M.; Sykorova, Z.
MOA07040	HE775345	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Kohout14 Para1		plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Tanacetum	vulgare	anthropogenic	Anthropogenic ecosystem	abandoned field	temperate	Palearctic					237		Europe	Czech Republic	Hradec Kralove	Hradec Kralove	50deg13.00'N 15deg52.00'E		ARCH1311AB	ITS4i	ITS	Sanger		Soil Biology and Biochemistry	2014	Comparison of commonly used primer sets for evaluating arbuscular mycorrhizal fungal communities: is there a universal solution?	Kohout, P.; Sudova, R.; Janouskova, M.; Ctvrtlikova, M.; Hejda, M.; Pankova, H.; Slavikova, R.; Stajerova, K.; Vosatka, M.; Sykorova, Z.
MOA07041	HE775346	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Kohout14 Para2		plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Tanacetum	vulgare	anthropogenic	Anthropogenic ecosystem	abandoned field	temperate	Palearctic					237		Europe	Czech Republic	Hradec Kralove	Hradec Kralove	50deg13.00'N 15deg52.00'E		ARCH1311AB	ITS4i	ITS	Sanger		Soil Biology and Biochemistry	2014	Comparison of commonly used primer sets for evaluating arbuscular mycorrhizal fungal communities: is there a universal solution?	Kohout, P.; Sudova, R.; Janouskova, M.; Ctvrtlikova, M.; Hejda, M.; Pankova, H.; Slavikova, R.; Stajerova, K.; Vosatka, M.; Sykorova, Z.
MOA07042	HE775347	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Kohout14 Para1		plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Tanacetum	vulgare	anthropogenic	Anthropogenic ecosystem	abandoned field	temperate	Palearctic					237		Europe	Czech Republic	Hradec Kralove	Hradec Kralove	50deg13.00'N 15deg52.00'E		ARCH1311AB	ITS4i	ITS	Sanger		Soil Biology and Biochemistry	2014	Comparison of commonly used primer sets for evaluating arbuscular mycorrhizal fungal communities: is there a universal solution?	Kohout, P.; Sudova, R.; Janouskova, M.; Ctvrtlikova, M.; Hejda, M.; Pankova, H.; Slavikova, R.; Stajerova, K.; Vosatka, M.; Sykorova, Z.
MOA07043	HE775348	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Kohout14 Para2		plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Tanacetum	vulgare	anthropogenic	Anthropogenic ecosystem	abandoned field	temperate	Palearctic					237		Europe	Czech Republic	Hradec Kralove	Hradec Kralove	50deg13.00'N 15deg52.00'E		ARCH1311AB	ITS4i	ITS	Sanger		Soil Biology and Biochemistry	2014	Comparison of commonly used primer sets for evaluating arbuscular mycorrhizal fungal communities: is there a universal solution?	Kohout, P.; Sudova, R.; Janouskova, M.; Ctvrtlikova, M.; Hejda, M.; Pankova, H.; Slavikova, R.; Stajerova, K.; Vosatka, M.; Sykorova, Z.
MOA07044	HE775350	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Kohout14 Para1		plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Tanacetum	vulgare	anthropogenic	Anthropogenic ecosystem	abandoned field	temperate	Palearctic					237		Europe	Czech Republic	Hradec Kralove	Hradec Kralove	50deg13.00'N 15deg52.00'E		GLOC1355	ITS4i	ITS	Sanger		Soil Biology and Biochemistry	2014	Comparison of commonly used primer sets for evaluating arbuscular mycorrhizal fungal communities: is there a universal solution?	Kohout, P.; Sudova, R.; Janouskova, M.; Ctvrtlikova, M.; Hejda, M.; Pankova, H.; Slavikova, R.; Stajerova, K.; Vosatka, M.; Sykorova, Z.
MOA07045	HE775351	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Kohout14 Para2		plant roots		Magnoliidae	Lilianae	Poales	Poaceae	Brachypodium	pinnatum	anthropogenic	Anthropogenic ecosystem	abandoned field	temperate	Palearctic					242		Europe	Czech Republic	Central Bohemia	Malesov	50deg30.00'N 14deg18.00'E		GLOC1355	ITS4i	ITS	Sanger		Soil Biology and Biochemistry	2014	Comparison of commonly used primer sets for evaluating arbuscular mycorrhizal fungal communities: is there a universal solution?	Kohout, P.; Sudova, R.; Janouskova, M.; Ctvrtlikova, M.; Hejda, M.; Pankova, H.; Slavikova, R.; Stajerova, K.; Vosatka, M.; Sykorova, Z.
MOA03303	HE799269	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	MO-P1	VTX00375	plant roots		Magnoliidae	Lilianae	Poales	Poaceae	Aristida	contorta	shrubland	deserts and xeric shrublands	desert	subtropical	Australasia					553		Oceania	Australia	Northern Territory	Alice Springs	23deg46.00'S 133deg52.00'E		NS31	AML2	18S rDNA	Sanger		Mycorrhiza	2013	Global sampling of plant roots expands the described molecular diversity of arbuscular mycorrhizal fungi	Opik, M.; Zobel, M.; Cantero, J.J.; Davison, J.; Facelli, J.M.; Hiiesalu, I.; Jairus, T.; Kalwij, J.M.; Koorem, K.; Leal, M.E.; Liira, J.; Metsis, M.; Neshataeva, V.; Paal, J.; Phosri, C.; Reier, U.; Thiery, O.; Vasar, M.; Moora, M.
MOA03304	HE799270	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	MO-P1	VTX00375	plant roots		Magnoliidae	Lilianae	Poales	Poaceae	Eragrostis	barrelieri	shrubland	deserts and xeric shrublands	desert	subtropical	Australasia					553		Oceania	Australia	Northern Territory	Alice Springs	23deg46.00'S 133deg52.00'E		NS31	AML2	18S rDNA	Sanger		Mycorrhiza	2013	Global sampling of plant roots expands the described molecular diversity of arbuscular mycorrhizal fungi	Opik, M.; Zobel, M.; Cantero, J.J.; Davison, J.; Facelli, J.M.; Hiiesalu, I.; Jairus, T.; Kalwij, J.M.; Koorem, K.; Leal, M.E.; Liira, J.; Metsis, M.; Neshataeva, V.; Paal, J.; Phosri, C.; Reier, U.; Thiery, O.; Vasar, M.; Moora, M.
MOA03305	HE799271	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	MO-P1	VTX00375	plant roots		Magnoliidae	Lilianae	Poales	Poaceae	Eragrostis	barrelieri	shrubland	deserts and xeric shrublands	desert	subtropical	Australasia					553		Oceania	Australia	Northern Territory	Alice Springs	23deg46.00'S 133deg52.00'E		NS31	AML2	18S rDNA	Sanger		Mycorrhiza	2013	Global sampling of plant roots expands the described molecular diversity of arbuscular mycorrhizal fungi	Opik, M.; Zobel, M.; Cantero, J.J.; Davison, J.; Facelli, J.M.; Hiiesalu, I.; Jairus, T.; Kalwij, J.M.; Koorem, K.; Leal, M.E.; Liira, J.; Metsis, M.; Neshataeva, V.; Paal, J.; Phosri, C.; Reier, U.; Thiery, O.; Vasar, M.; Moora, M.
MOA03306	HE799272	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00001	plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Conyza	pannosa	shrubland	Tropical shrubland	arid montane shrubland	tropical	Afrotropic					886		Africa	Cape Verde	Santiago	Santiago	15deg10.00'N 23deg41.00'W		NS31	AML2	18S rDNA	Sanger		Mycorrhiza	2013	Global sampling of plant roots expands the described molecular diversity of arbuscular mycorrhizal fungi	Opik, M.; Zobel, M.; Cantero, J.J.; Davison, J.; Facelli, J.M.; Hiiesalu, I.; Jairus, T.; Kalwij, J.M.; Koorem, K.; Leal, M.E.; Liira, J.; Metsis, M.; Neshataeva, V.; Paal, J.; Phosri, C.; Reier, U.; Thiery, O.; Vasar, M.; Moora, M.
MOA03307	HE799273	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00001	plant roots		Magnoliidae	Asteranae	Lamiales	Acanthaceae			forest	Tropical dry broadleaf forest	seasonal tropical forest	tropical	Indo-Malay					190		Asia	Thailand	Phitsanulok	Phitsanulok	16deg51.00'N 100deg27.00'E		NS31	AML2	18S rDNA	Sanger		Mycorrhiza	2013	Global sampling of plant roots expands the described molecular diversity of arbuscular mycorrhizal fungi	Opik, M.; Zobel, M.; Cantero, J.J.; Davison, J.; Facelli, J.M.; Hiiesalu, I.; Jairus, T.; Kalwij, J.M.; Koorem, K.; Leal, M.E.; Liira, J.; Metsis, M.; Neshataeva, V.; Paal, J.; Phosri, C.; Reier, U.; Thiery, O.; Vasar, M.; Moora, M.
MOA03308	HE799274	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00001	plant roots		Magnoliidae	Asteranae	Lamiales	Acanthaceae			forest	Tropical dry broadleaf forest	seasonal tropical forest	tropical	Indo-Malay					190		Asia	Thailand	Phitsanulok	Phitsanulok	16deg51.00'N 100deg27.00'E		NS31	AML2	18S rDNA	Sanger		Mycorrhiza	2013	Global sampling of plant roots expands the described molecular diversity of arbuscular mycorrhizal fungi	Opik, M.; Zobel, M.; Cantero, J.J.; Davison, J.; Facelli, J.M.; Hiiesalu, I.; Jairus, T.; Kalwij, J.M.; Koorem, K.; Leal, M.E.; Liira, J.; Metsis, M.; Neshataeva, V.; Paal, J.; Phosri, C.; Reier, U.; Thiery, O.; Vasar, M.; Moora, M.
MOA03309	HE799275	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00281	plant roots		Magnoliidae	Lilianae	Asparagales	Asparagaceae	Polygonatum	glaberrimum	forest	Temperate broadleaf & mixed forest	beech forest	temperate	Palearctic					1100		Asia	Georgia	Imereti	Borjomi-Kharagauli	41deg56.00'N 43deg25.00'E		NS31	AML2	18S rDNA	Sanger		Mycorrhiza	2013	Global sampling of plant roots expands the described molecular diversity of arbuscular mycorrhizal fungi	Opik, M.; Zobel, M.; Cantero, J.J.; Davison, J.; Facelli, J.M.; Hiiesalu, I.; Jairus, T.; Kalwij, J.M.; Koorem, K.; Leal, M.E.; Liira, J.; Metsis, M.; Neshataeva, V.; Paal, J.; Phosri, C.; Reier, U.; Thiery, O.; Vasar, M.; Moora, M.
MOA01741	HF566780	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00001	plant roots		Magnoliidae	Asteranae	Asterales	Asteraceae	Conyza	pannosa	shrubland	Tropical shrubland	arid montane shrubland	tropical	Afrotropic					886		Africa	Cape Verde	Santiago	Santiago	15deg10.00'N 23deg41.00'W		NS31	AML2	18S rDNA	Sanger		Mycorrhiza	2013	Global sampling of plant roots expands the described molecular diversity of arbuscular mycorrhizal fungi	Opik, M.; Zobel, M.; Cantero, J.J.; Davison, J.; Facelli, J.M.; Hiiesalu, I.; Jairus, T.; Kalwij, J.M.; Koorem, K.; Leal, M.E.; Liira, J.; Metsis, M.; Neshataeva, V.; Paal, J.; Phosri, C.; Reier, U.; Thiery, O.; Vasar, M.; Moora, M.
MOA02393	HF567432	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00281	plant roots		Magnoliidae	Asteranae	Lamiales	Plantaginaceae	Plantago	argentina	grassland	Montane grassland	montane pampa grassland	subtropical	Neotropic					1632		South America	Argentina	Cordoba	Cordoba mountain range	32deg46.00'S 64deg56.00'W		NS31	AML2	18S rDNA	454 sequencing	GS-FLX Titanium	Mycorrhiza	2013	Global sampling of plant roots expands the described molecular diversity of arbuscular mycorrhizal fungi	Opik, M.; Zobel, M.; Cantero, J.J.; Davison, J.; Facelli, J.M.; Hiiesalu, I.; Jairus, T.; Kalwij, J.M.; Koorem, K.; Leal, M.E.; Liira, J.; Metsis, M.; Neshataeva, V.; Paal, J.; Phosri, C.; Reier, U.; Thiery, O.; Vasar, M.; Moora, M.
MOA02394	HF567433	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00281	plant roots		Magnoliidae	Lilianae	Arecales	Arecaceae	Trachycarpus	fortunei	forest	Subtropical moist broadleaf forest	broadleaf forest	subtropical	Palearctic					893		Asia	China	Anhui Province	Gutianshan Natural Reserve	29deg24.00'N 118deg11.00'E		NS31	AML2	18S rDNA	454 sequencing	GS-FLX Titanium	Mycorrhiza	2013	Global sampling of plant roots expands the described molecular diversity of arbuscular mycorrhizal fungi	Opik, M.; Zobel, M.; Cantero, J.J.; Davison, J.; Facelli, J.M.; Hiiesalu, I.; Jairus, T.; Kalwij, J.M.; Koorem, K.; Leal, M.E.; Liira, J.; Metsis, M.; Neshataeva, V.; Paal, J.; Phosri, C.; Reier, U.; Thiery, O.; Vasar, M.; Moora, M.
